timestamp, anchor_1, anchor_2, anchor_3, anchor_4, position_x, position_y, position_z,df,foo
684930,4229,4473,4680,4773,2496,3503,288,84,
685131,4075,4520,4726,4783,2570,3461,243,80,
685332,4103,4515,4736,4867,2615,3437,236,80,
685533,4047,4511,4745,4862,2655,3406,217,80,
685734,4047,4473,4661,4900,2665,3401,275,85,
685935,4009,4450,4740,4928,2678,3382,277,82,
686136,3930,4473,4750,4984,2713,3344,277,81,
686337,3897,4398,4764,5049,2721,3311,314,83,
686538,3883,4253,4773,5012,2666,3278,432,89,
686739,3851,4572,4820,5003,2785,3306,385,75,
686940,3832,4459,4783,4988,2816,3311,398,80,
687141,3804,4384,4858,5003,2810,3254,337,80,
687342,3790,4342,4886,5021,2798,3252,397,81,
687543,3766,4332,4825,5059,2787,3240,454,84,
687744,3747,4286,4961,5101,2780,3169,383,80,
687945,3785,4332,4956,5124,2770,3132,303,78,
688146,3761,4342,4952,5087,2765,3105,276,78,
688347,3715,4229,4979,5115,2771,3128,355,81,
688548,4047,4215,4923,5176,2615,3173,297,84,
